"TC#","Section","Priority","Test Case","Steps","Expected Result","Status(PASS/FAIL/BLOCKED)","mock data","Cross-Module Link","Settings need to set before entering to the module","Actual Result(What happened)","Console Error(Copy-paste red text)","Screenshot(Y/N)","Notes","Journey Scenario","Why This Exists","Test Type","Role/Login","Supabase Verify","Playwright Spec","Defect ID"
"TC-P4A-025","4A Queue & Tokens","P1","A receptionist can register a walk-in end to end","1) Log out 2) Log in as receptionist (Hospital A) 3) Open /opd 4) Register a walk-in for PT-QA-0001 with Dr. Suresh Menon 5) Pay and issue the token","The token is issued and an opd_tokens row exists for PT-QA-0001.","","PT-QA-0001 Ramesh Kumar","Billing","Roles & Permissions: opd → register_walkin granted to receptionist","","","","","P4-S01","The receptionist is the role that performs this all day; if the gate blocks them the entire OPD day stalls at its first step regardless of what admins can do.","RBAC","receptionist (Hospital A)","opd_tokens where hospital_id = A and patient_id = (PT-QA-0001) and visit_date = today → row exists","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4A-026","4A Queue & Tokens","P1","A nurse is not offered the Register Walk-in action","1) Log out 2) Log in as nurse (Hospital A) 3) Open /opd 4) Look for the ""+ Register Walk-in"" button","The Register Walk-in control is absent for the nurse role.","","None","","Roles & Permissions: opd → register_walkin NOT granted to nurse","","","","","P4-S01","Token creation carries a cash-collection step, so this role gate is a financial control as well as a workflow one — a role that cannot handle money must not open the payment screen.","RBAC","nurse (Hospital A)","None","e2e/phase-04-opd-journey/P4A.queue-token.spec.ts",""
"TC-P4B-001","4B Fee Engine & Revisit","P1","A new consultation is priced at the doctor's own configured rate","1) Open /opd 2) Click ""+ Register Walk-in"" 3) Search PT-QA-0001 4) Department General Medicine, Doctor Suresh Menon, Visit Type New 5) Click ""Proceed to Payment"" 6) Read the Consultation Fee panel","The payment step displays ₹500 — Dr. Suresh Menon's configured consultation fee.","","PT-QA-0001; Doctors & consultation fees — Dr. Suresh Menon ₹500","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S01","The consultation fee is the single most frequently charged amount in the hospital; a wrong figure here repeats on every patient of every day until someone reconciles the month.","Positive","hospital_admin (Hospital A)","service_master where hospital_id = A and item_type = consultation and doctor_id = (Dr. Suresh Menon) → fee = 500","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-002","4B Fee Engine & Revisit","P1","The rate-source badge names the doctor tier, not the hardcoded default","1) Open /opd 2) Register-walk-in flow for PT-QA-0001 with Dr. Suresh Menon, Visit Type New 3) Click ""Proceed to Payment"" 4) Read the badge beside the Consultation Fee label","The badge reads ""Doctor rate"" — not ""Default rate"".","","PT-QA-0001; Doctors & consultation fees — Dr. Suresh Menon","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S01","""Default rate"" is the only on-screen signal that every rate lookup missed and the hardcoded ₹500 is being charged; a hospital that never learns to read this badge under-bills silently forever.","Positive","hospital_admin (Hospital A)","service_master where hospital_id = A and item_type = consultation and doctor_id = (Dr. Suresh Menon) and is_active = true → 1 row","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-003","4B Fee Engine & Revisit","P2","A second doctor with a different configured rate prices differently","1) Open /opd 2) Register-walk-in flow for PT-QA-0001 with Department Obstetrics & Gynaecology, Doctor Kavitha Rao, Visit Type New 3) Click ""Proceed to Payment"" 4) Read the fee","The fee displayed is ₹700, Dr. Kavitha Rao's configured rate.","","PT-QA-0001; Doctors & consultation fees — Dr. Kavitha Rao ₹700","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S01","Proves the rate is genuinely resolved per doctor rather than a single hospital-wide constant that happens to match the first doctor tested.","Positive","hospital_admin (Hospital A)","service_master where hospital_id = A and item_type = consultation and doctor_id = (Dr. Kavitha Rao) → fee = 700","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-004","4B Fee Engine & Revisit","P1","A specialist consultation prices at the specialist rate","1) Open /opd 2) Register-walk-in flow for PT-QA-0001 with Department General Surgery, Doctor Arjun Nair, Visit Type New 3) Click ""Proceed to Payment"" 4) Read the fee","The fee displayed is ₹800, Dr. Arjun Nair's configured specialist rate.","","PT-QA-0001; Doctors & consultation fees — Dr. Arjun Nair ₹800","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S01","A specialist billed at the general rate leaks ₹300 on every consultation, which on a modest surgical OPD is several lakh rupees a year with no error message anywhere.","Positive","hospital_admin (Hospital A)","service_master where hospital_id = A and item_type = consultation and doctor_id = (Dr. Arjun Nair) → fee = 800","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-005","4B Fee Engine & Revisit","P1","With no doctor-level rate the department rate is used","1) In Supabase, temporarily set service_master.is_active = false for the Dr. Suresh Menon consultation row 2) Open /opd 3) Register-walk-in flow for PT-QA-0001 with General Medicine / Dr. Suresh Menon 4) Click ""Proceed to Payment"" 5) Read the fee and the badge 6) Restore is_active = true","The badge reads ""Dept rate"" and the fee equals the department-level consultation rate.","","PT-QA-0001; Services & rates — General Consultation ₹500","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S01","The doctor → department → global → ₹500 precedence chain is only trustworthy if each tier is actually reached; a fallback that is never provoked is a fallback that has never been tested.","Boundary","hospital_admin (Hospital A)","service_master where hospital_id = A and item_type = consultation and doctor_id is null and department_id = (General Medicine) → fee","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-006","4B Fee Engine & Revisit","P1","With no doctor and no department rate the global rate is used","1) In Supabase, temporarily deactivate both the doctor-level and department-level consultation rows in service_master 2) Open /opd 3) Register-walk-in flow for PT-QA-0001 with General Medicine / Dr. Suresh Menon 4) Read the fee and badge on the payment step 5) Restore both rows","The badge reads ""Global rate"" and the fee equals the hospital-wide consultation rate.","","PT-QA-0001; Services & rates — General Consultation ₹500","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S01","The global tier is the last configured line of defence before the hardcoded fallback, so it has to be proven to fire rather than assumed.","Boundary","hospital_admin (Hospital A)","service_master where hospital_id = A and item_type = consultation and doctor_id is null and department_id is null → fee","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-007","4B Fee Engine & Revisit","P1","With no rate configured at any tier ₹500 is charged silently","1) In Supabase, temporarily deactivate the doctor, department and global consultation rows in service_master 2) Open /opd 3) Register-walk-in flow for PT-QA-0001 with General Medicine / Dr. Suresh Menon 4) Read the fee and badge 5) Restore all three rows","The fee displayed is exactly ₹500 and the badge reads ""Default rate"" — no toast, banner or error is shown anywhere.","","PT-QA-0001 Ramesh Kumar","Billing","None — this case deliberately removes the prerequisite","","","","","P4-S01","SETTINGS_PREREQ_MATRIX warns that this app bills a hardcoded ₹500 with no warning; this case pins down exactly how invisible that failure is, so testers stop reporting it as a code bug and start reporting it as configuration.","Negative","hospital_admin (Hospital A)","service_master where hospital_id = A and item_type = consultation and is_active = true → 0 rows during the test","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-008","4B Fee Engine & Revisit","P1","A follow-up inside the validity window is charged the follow-up rate","1) Seed a completed opd_tokens row for PT-QA-0001 with Dr. Suresh Menon dated 5 days ago 2) Open /opd 3) Register-walk-in flow for PT-QA-0001 with General Medicine / Dr. Suresh Menon 4) Click ""Proceed to Payment"" 5) Read the fee","The fee displayed is ₹0 — Dr. Suresh Menon's configured free follow-up rate inside the 7-day window.","","PT-QA-0001; phase4.followUp.withinWindowDays = 5; Dr. Suresh Menon follow-up ₹0 / validity 7d","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S02","The hospital told this patient the review was free; charging them anyway is the single most common complaint an Indian OPD front desk receives and it is entirely avoidable.","Positive","hospital_admin (Hospital A)","service_master where hospital_id = A and doctor_id = (Dr. Suresh Menon) and item_type = consultation → follow_up_fee = 0 and validity_days = 7","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-009","4B Fee Engine & Revisit","P2","The badge names the follow-up rate and its window length","1) Seed a completed visit for PT-QA-0001 with Dr. Suresh Menon 5 days ago 2) Open /opd 3) Register-walk-in flow for the same patient and doctor 4) Read the badge on the payment step","The badge reads ""Follow-up rate (within 7d)"".","","PT-QA-0001; Dr. Suresh Menon validity 7 days","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S02","The desk has to be able to explain to the patient why they are paying nothing today, and the window length is the explanation.","Positive","hospital_admin (Hospital A)","service_master where hospital_id = A and doctor_id = (Dr. Suresh Menon) → validity_days = 7","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-010","4B Fee Engine & Revisit","P1","A return on exactly the last day of the window is still a follow-up","1) Seed a completed visit for PT-QA-0001 with Dr. Suresh Menon dated exactly 7 days ago 2) Open /opd 3) Register-walk-in flow for the same patient and doctor 4) Read the fee on the payment step","The fee is ₹0 — day 7 of a 7-day window is inclusive (daysSince <= validityDays).","","PT-QA-0001; phase4.followUp.boundaryDays = 7","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S02","An off-by-one on the inclusive boundary charges a patient full fee on the exact day the doctor told them to come back, which is the worst possible day to get it wrong.","Boundary","hospital_admin (Hospital A)","service_master where hospital_id = A and doctor_id = (Dr. Suresh Menon) → validity_days = 7","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-011","4B Fee Engine & Revisit","P1","A return one day after the window is a fresh consultation at full fee","1) Seed a completed visit for PT-QA-0001 with Dr. Suresh Menon dated 8 days ago 2) Open /opd 3) Register-walk-in flow for the same patient and doctor 4) Read the fee","The fee is ₹500 — the full consultation rate.","","PT-QA-0001; phase4.followUp.justOutsideWindowDays = 8","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S03","If the window has no upper edge every returning patient is free forever and the OPD earns nothing on reviews, which is a quiet and total collapse of follow-up revenue.","Boundary","hospital_admin (Hospital A)","service_master where hospital_id = A and doctor_id = (Dr. Suresh Menon) → fee = 500 and validity_days = 7","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
"TC-P4B-012","4B Fee Engine & Revisit","P2","A return well outside the window is charged the full fee","1) Seed a completed visit for PT-QA-0001 with Dr. Suresh Menon dated 12 days ago 2) Open /opd 3) Register-walk-in flow for the same patient and doctor 4) Read the fee","The fee is ₹500.","","PT-QA-0001; phase4.followUp.outsideWindowDays = 12","Billing","service_master consultation rows with fee, follow_up_fee, validity_days and emergency_fee for each doctor (Settings → Services)","","","","","P4-S03","Confirms the day-8 boundary result is the rule taking effect rather than a coincidence at the edge of the window.","Positive","hospital_admin (Hospital A)","service_master where hospital_id = A and doctor_id = (Dr. Suresh Menon) → fee = 500","e2e/phase-04-opd-journey/P4B.fee-engine.spec.ts",""
