"TC#","Section","Priority","Test Case","Steps","Expected Result","Status(PASS/FAIL/BLOCKED)","mock data","Cross-Module Link","Settings need to set before entering to the module","Actual Result(What happened)","Console Error(Copy-paste red text)","Screenshot(Y/N)","Notes","Journey Scenario","Why This Exists","Test Type","Role/Login","Supabase Verify","Playwright Spec","Defect ID"
"TC-P3A-017","3A Registration","P2","Aadhaar ID is stored digits-only and masked on screen","1) Open ""Register New Patient"" 2) Fill Full Name from phase3.registration.aadhaar 3) Type phase3.registration.aadhaar.aadhaar (with or without dashes) into Aadhaar ID 4) Tick DPDP consent 5) Save 6) Reopen the patient in edit mode Route: /patients","The field displays formatted as XXXX-XXXX-1234 (last 4 digits only) on screen; the stored aadhaar_id column holds only the 12 raw digits, never the dashes.","","phase3.registration.aadhaar — Shalini Rao","","None","","","","","P3-S01","Aadhaar is one of the most sensitive identifiers under DPDP Act 2023 — masking on screen and clean digit storage are both required, not cosmetic.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Shalini Rao' → aadhaar_id = '234567890123' (digits only)","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-018","3A Registration","P1","Registration writes a patient_consents row with consent_type data_collection","1) Register phase3.registration.full as in TC-P3A-003 2) In Supabase, query patient_consents for the new patient_id Route: /patients","A patient_consents row exists with consent_type = ""data_collection"", consent_given = true, and a non-empty consent_text.","","phase3.registration.full","","None","","","","","P3-S01","The DPDP checkbox is only meaningful compliance evidence if it is actually written to an auditable table — a UI-only tick proves nothing to a regulator.","Positive","hospital_admin (Hospital A)","patient_consents where patient_id = (new Kavya Prasad id) and consent_type = 'data_collection' → consent_given = true","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3A-019","3A Registration","P2","A receptionist can register a new patient","1) Log out 2) Log in as receptionist (Hospital A) 3) Open /patients 4) Register phase3.registration.receptionistEntry, ticking DPDP consent","The receptionist role can complete registration end to end — this is the primary role that performs it in a real hospital.","","phase3.registration.receptionistEntry — Farida Sheikh","","Roles & Permissions: receptionist has register_patient action access","","","","","P3-S01","If the front-desk role cannot register patients, the entire OPD queue stalls at the very first step of the day.","RBAC","receptionist (Hospital A)","patients where hospital_id = A and full_name = 'Farida Sheikh' → row exists","e2e/phase-03-patient-records/P3A.registration.spec.ts",""
"TC-P3B-001","3B Duplicate detection","P1","Registering a patient with a name and phone identical to an existing patient succeeds and creates a second row","1) Register phase3.duplicate.probeName / probePhone once, ticking DPDP consent 2) Repeat the exact same registration a second time Route: /patients","CURRENT APP BEHAVIOUR (a defect): the second registration saves without any warning, search prompt or block, producing two separate patients rows for the same person with two different UHIDs.","","phase3.duplicate.probeName, phase3.duplicate.probePhone","","None","","","","","P3-S02","A second UHID for the same person forks their clinical history in two — allergy flags, drug history and past diagnoses recorded under the first UHID are invisible on the second, which is a direct patient-safety risk.","Negative","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Kiran Deshpande' and phone = '9876555010' → expect 2 rows (documents the gap; a fix would make this 1)","e2e/phase-03-patient-records/P3B.duplicate.spec.ts",""
"TC-P3B-002","3B Duplicate detection","P2","No duplicate-warning element appears during or after the duplicate save","1) Repeat TC-P3B-001 2) Watch the screen throughout both submissions for any modal, banner or toast mentioning an existing match Route: /patients","No duplicate-warning UI is shown at any point — the second save proceeds identically to a first-time registration.","","phase3.duplicate.probeName, phase3.duplicate.probePhone","","None","","","","","P3-S02","Confirms the gap is a genuine missing feature, not a warning the tester simply didn't notice — this determines whether the fix is 'surface the existing warning' or 'build one'.","Negative","hospital_admin (Hospital A)","patients where hospital_id = A and phone = phase3.duplicate.probePhone → the second save still created a row (see TC-P3B-001)","e2e/phase-03-patient-records/P3B.duplicate.spec.ts",""
"TC-P3B-003","3B Duplicate detection","P1","The two duplicate rows carry two different UHIDs","1) After TC-P3B-001, query both ""Kiran Deshpande"" rows in Supabase and compare their uhid values Query rows from patients.","The two rows have different, independently-sequenced UHIDs — there is no shared identifier a later merge could key off automatically.","","phase3.duplicate.probeName","","None","","","","","P3-S02","Two different UHIDs for one person means every future bill, lab order or admission attaches to only one half of their history at random, depending on which UHID the desk happens to search up that day.","Negative","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Kiran Deshpande' → 2 distinct uhid values","e2e/phase-03-patient-records/P3B.duplicate.spec.ts",""
"TC-P3B-004","3B Duplicate detection","P2","A near-duplicate — same phone, differently-spaced/cased name — is also accepted without warning","1) Register phase3.duplicate.probeName/probePhone once (if not already present from TC-P3B-001) 2) Register phase3.duplicate.nearDuplicateName with the SAME probePhone","The near-duplicate (""kiran  deshpande"" — different case, extra space) saves as a third distinct row on the same phone number with no warning, exactly like the exact-duplicate case.","","phase3.duplicate.nearDuplicateName, phase3.duplicate.probePhone","","None","","","","","P3-S02","Even a future exact-match de-dup fix would still miss this case — a case-insensitive whitespace-normalised match is the minimum bar, and this proves whether that bar is met.","Boundary","hospital_admin (Hospital A)","patients where hospital_id = A and phone = '9876555010' → count >= 3","e2e/phase-03-patient-records/P3B.duplicate.spec.ts",""
"TC-P3B-005","3B Duplicate detection","P2","The seeded duplicate pair PT-QA-0001 / PT-QA-0029 confirms the same gap independent of any single test run","1) In Supabase, query patients where hospital_id = A and full_name = 'Ramesh Kumar' and phone = '9876500001' Query rows from patients.","Both PT-QA-0001 and PT-QA-0029 exist as two separate rows with the same name and phone — the seed data itself documents the gap as a stable regression indicator, independent of anything this spec creates.","","PT-QA-0001, PT-QA-0029","","qa:seed run","","","","","P3-S02","If a future fix makes this pair collapse to one row unexpectedly (or the seeder stops producing two), that is itself a signal the de-dup behaviour changed and the phase's cases need re-authoring.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'Ramesh Kumar' and phone = '9876500001' → 2 rows, uhid in ('PT-QA-0001','PT-QA-0029')","e2e/phase-03-patient-records/P3B.duplicate.spec.ts",""
"TC-P3C-001","3C Emergency & newborn","P1","Emergency Registration saves with only an arrival mode and triage category selected","1) Log in as receptionist (Hospital A) 2) Open /emergency 3) Click ""+ Register Emergency Patient"" 4) Leave Name at its default ""Unknown"", leave Age/Complaint blank 5) Select Arrival Mode ""Walk-in"" 6) Select Triage ""P3 - Delayed"" 7) Click ""Register & Triage""","The patient and its ED visit save successfully with name ""Unknown"" — this is the true minimum needed to begin emergency treatment.","","None (defaults)","Billing","None","","","","","P3-S03","A trauma patient cannot wait for a full registration form before triage begins — treatment must be startable from arrival mode and triage alone.","Positive","receptionist (Hospital A)","patients where hospital_id = A and full_name = 'Unknown' → row exists; ed_visits where patient_id = (that id) → triage_category = 'P3'","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-002","3C Emergency & newborn","P2","Patient Name defaults to ""Unknown"" and is not a required field","1) Open the Emergency Registration modal 2) Inspect the Patient Name field before typing anything Route: /emergency","The field is pre-filled with ""Unknown"" and the Register button is not blocked by an empty-name validation error.","","None","","None","","","","","P3-S03","An unconscious road-accident victim with no ID must be registerable without anyone inventing a name.","Positive","receptionist (Hospital A)","None","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-003","3C Emergency & newborn","P2","Emergency Registration has no DPDP consent control","1) Open the Emergency Registration modal 2) Inspect the full form top to bottom Route: /emergency","CURRENT APP BEHAVIOUR (a gap): unlike the main /patients registration form, no DPDP consent checkbox or notice is present anywhere in this modal.","","None","","None","","","","","P3-S03","Every other registration path in the app captures DPDP consent — an emergency patient (once stabilised) still has the same DPDP Act 2023 rights, and this path currently records none.","Negative","receptionist (Hospital A)","None","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-004","3C Emergency & newborn","P1","Submitting is blocked until a triage category is chosen, unless Brought Dead is selected","1) Open Emergency Registration 2) Leave Arrival Mode at ""Walk-in"" default 3) Do not select any triage level 4) Inspect the Register & Triage button Route: /emergency","The button stays disabled (""Select triage category"" toast on click) while Arrival Mode is not ""Brought Dead"" and no triage level is chosen.","","None","","None","","","","","P3-S03","An ED visit with no triage category cannot be prioritised on the board — a patient could wait behind someone objectively less urgent.","Negative","receptionist (Hospital A)","None","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-005","3C Emergency & newborn","P1","Selecting ""Brought Dead"" waives the triage requirement and records disposition expired","1) Open Emergency Registration 2) Select Arrival Mode ""Brought Dead"" 3) Enter phase3.emergency.broughtDeadComplaint as the complaint 4) Click ""Record Brought Dead"" Route: /emergency","The save succeeds with no triage category required; the created ed_visits row has disposition = ""expired"" and is_active = false.","","phase3.emergency.broughtDeadComplaint","Mortuary","None","","","","","P3-S03","Forcing a triage selection for a patient already deceased on arrival would block the mortuary workflow behind a meaningless clinical decision.","Positive","receptionist (Hospital A)","ed_visits where hospital_id = A and chief_complaint = 'Found unresponsive at home' → disposition = 'expired', is_active = false","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-006","3C Emergency & newborn","P1","A ""Brought Dead"" registration routes the patient to the mortuary with a body number","1) Complete TC-P3C-005 2) Open /mortuary and search for the same patient","The mortuary module shows a new admission for this patient with a system-generated body number, created automatically by routeEdPatientToMortuary().","","phase3.emergency.broughtDeadComplaint","Mortuary","Mortuary module enabled on plan","","","","","P3-S03","If the automatic mortuary routing silently fails, a deceased patient is left ""active"" in the ED queue indefinitely with no one aware a body needs to be received.","Cross-Module","receptionist (Hospital A)","mortuary_admissions (or equivalent) where patient_id = (brought-dead patient id) → body_number not null","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-007","3C Emergency & newborn","P1","The phone/name search box finds and links an existing patient instead of creating a duplicate","1) Open Emergency Registration 2) In the ""Search by phone or name"" box, type PT-QA-0002's phone (9876500002) 3) Click the matching result for Sunita Reddy Route: /emergency","The form shows ""✓ Linked to: Sunita Reddy (PT-QA-0002)"" and the Patient Name field is populated from the existing record.","","PT-QA-0002 phone 9876500002","","None","","","","","P3-S03","This is the one registration surface in the app that DOES look up an existing patient before creating a new one — proving it works is the direct contrast to the gap in TC-P3B-001.","Positive","receptionist (Hospital A)","None","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-008","3C Emergency & newborn","P1","Linking an existing patient via search does not create a new patients row","1) Complete TC-P3C-007 (link to Sunita Reddy) 2) Select a triage level 3) Click Register & Triage 4) Query patients for full_name = ""Sunita Reddy"" in Supabase Route: /emergency","Exactly one patients row exists for Sunita Reddy (PT-QA-0002) — the ED visit attaches patient_id to the existing record, no new row is inserted.","","PT-QA-0002","","None","","","","","P3-S03","Confirms the linked path genuinely reuses the existing UHID rather than silently also inserting a duplicate underneath the link.","Negative","receptionist (Hospital A)","patients where hospital_id = A and uhid = 'PT-QA-0002' → exactly 1 row; ed_visits where patient_id = (PT-QA-0002's id) → new row exists","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-009","3C Emergency & newborn","P2","A new emergency patient uses the same UHID series as staff registration, not a separate scheme","1) Complete TC-P3C-001 (Unknown patient, no link) 2) Read the created patient's uhid in Supabase Route: /emergency","The UHID follows the hospital's standard <uhid_prefix>-<date>-<seq> format from the next_seq RPC — the same generatePatientUhid() used by /patients — NOT a separate scheme.","","None","","None","","","","","P3-S03","This is the positive contrast to the kiosk's separate 'K'-prefixed series (TC-P3E-003) — Emergency Registration gets this right and the comparison shows it is achievable everywhere.","Positive","receptionist (Hospital A)","patients where hospital_id = A and full_name = 'Unknown' → uhid matches hospitals.uhid_prefix format","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-010","3C Emergency & newborn","P2","Medico-Legal Case checkbox links the ED visit for MLC follow-up","1) Open Emergency Registration 2) Enter phase3.emergency.mlcName as the Patient Name and phase3.emergency.mlcComplaint as the complaint 3) Tick ""Medico-Legal Case?"" 4) Select a triage level 5) Click Register & Triage Route: /emergency","The ed_visits row saves with mlc = true, and (per the app) an MLC details modal opens automatically referencing this visit.","","phase3.emergency.mlcName, phase3.emergency.mlcComplaint","MLC/Mortuary","None","","","","","P3-S03","An assault or accident case flagged MLC has statutory police-reporting obligations — if the flag does not persist, the legal reporting step is silently skipped.","Positive","receptionist (Hospital A)","ed_visits where hospital_id = A and chief_complaint = 'Assault injury, police case' → mlc = true","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-011","3C Emergency & newborn","P2","Newborn registration — ""B/O <mother>"" is created as an ordinary new patient record","1) Open /patients 2) Click ""Register New Patient"" 3) Enter phase3.newborn.fullName as Full Name 4) Set DOB to today, Gender male 5) Tick DPDP consent 6) Save","The baby saves as a normal patients row with its own UHID — there is no dedicated newborn flow, so the name and mother-linkage are entirely manual conventions, not enforced by the app.","","phase3.newborn.fullName — ""B/O Kavya Prasad""","IPD (Phase 7)","None","","","","","P3-S04","Confirms exactly what a newborn registration can and cannot rely on today: a correctly-shaped patient row, but zero system support for the naming convention or the mother link.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and full_name = 'B/O Kavya Prasad' → row exists, dob = today, gender = 'male'","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3C-012","3C Emergency & newborn","P2","The Neonatal Sheet has no field anywhere to set mother_patient_id","1) (Code-level / manual review, per the note below) Open the Neonatal Sheet for an admitted baby patient from the IPD or OPD workspace 2) Inspect every field on the sheet","neonatal_records.mother_patient_id exists in the schema but no control on the Neonatal Sheet reads or writes it — the mother link can only ever be set directly in the database.","","None","IPD","An IPD admission or OPD encounter for the baby (Phase 7 territory)","","","","","P3-S04","A NABH assessor tracing a newborn record back to its mother via the system would find no link — it exists only if someone manually wrote it into the database, which QA cannot verify happens in practice.","Negative","hospital_admin (Hospital A)","information_schema.columns where table_name = 'neonatal_records' and column_name = 'mother_patient_id' → column exists; no UI writes to it","",""
"TC-P3C-013","3C Emergency & newborn","P2","The newborn's DOB defaults to today and represents a 0-day-old","1) Complete TC-P3C-011 2) Open the saved baby patient in the registry and read the displayed age Route: /patients","The patient list shows the baby's age as ""0y"" (or equivalent same-day age), computed correctly from a DOB of today rather than throwing a negative or NaN age.","","phase3.newborn.fullName","","None","","","","","P3-S04","A broken age calculation for a 0-day-old would misfire every age-gated safety check (paediatric dosing, adult-only screens) for every newborn in the system.","Boundary","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3C.emergency-newborn.spec.ts",""
"TC-P3D-001","3D ABHA / ABDM","P2","The ABHA Verify button returns a sandbox format-valid result for a syntactically valid ABHA number","1) Open ""Register New Patient"" 2) Type phase3.abha.sandboxValid (14 digits) into the ABHA ID field 3) Click Verify Route: /patients","A ""Format Valid (Sandbox)"" amber badge appears — the abdm-abha-verify function falls back to sandbox_format_only mode when no live ABDM credentials are configured.","","phase3.abha.sandboxValid","ABDM","None (sandbox mode is the default without ABDM credentials configured)","","","","","P3-S05","Most hospitals go live before their ABDM HIP credentials are approved — the sandbox fallback must give staff a usable signal rather than a hard error.","Positive","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3D.abha.spec.ts",""
"TC-P3D-002","3D ABHA / ABDM","P2","An ABHA number of the wrong length is rejected as invalid","1) Open ""Register New Patient"" 2) Type phase3.abha.tooShort (7 digits) into ABHA ID 3) Click Verify Route: /patients","A red ""Invalid ABHA"" badge is shown and abhaVerified stays false.","","phase3.abha.tooShort","ABDM","None","","","","","P3-S05","Storing an obviously malformed ABHA number as ""verified"" would poison every later ABDM health-record-sharing attempt for this patient.","Negative","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3D.abha.spec.ts",""
"TC-P3D-003","3D ABHA / ABDM","P1","A sandbox-verified ABHA number is stored with abha_verified true and a timestamp","1) Register a new patient (reuse phase3.registration.full with a fresh name if already used) entering phase3.abha.sandboxValid as ABHA ID and clicking Verify before saving 2) Tick DPDP consent 3) Save Route: /patients","The saved patients row has abha_id = the entered number, abha_verified = true, and abha_verified_at populated with a timestamp.","","phase3.registration.full, phase3.abha.sandboxValid","ABDM","None","","","","","P3-S05","ABDM health-record-sharing consent and eligibility both key off abha_verified — if it never gets set true, this patient can never use ABDM features even with a valid ABHA number.","Positive","hospital_admin (Hospital A)","patients where hospital_id = A and abha_id = '12345678901234' → abha_verified = true, abha_verified_at not null","e2e/phase-03-patient-records/P3D.abha.spec.ts",""
"TC-P3D-004","3D ABHA / ABDM","P2","abdm-abha-verify supports a connectivity ping without needing a patient","1) As an authenticated hospital_admin session, call supabase.functions.invoke('abdm-abha-verify', { body: { mode: 'ping' } }) from the test","The function returns a response without error, confirming the edge function is reachable independent of any specific ABHA number or patient context.","","None","ABDM","None","","","","","P3-S05","A platform-level health check for the ABDM integration must exist separately from patient-specific verification, so an outage can be detected before a receptionist hits it mid-registration.","Positive","hospital_admin (Hospital A)","None","e2e/phase-03-patient-records/P3D.abha.spec.ts",""
"TC-P3D-005","3D ABHA / ABDM","P1","FINDING: the ABHA verify+consent+link UI (verbal-consent checkbox gating the Link button) has no live entry point in the running app","MANUAL/CODE-INSPECTION ONLY: 1) grep -r ""editPatient="" src/ — confirms zero usages, so PatientRegistrationModal is never opened in edit mode by anything 2) Read PatientSummaryPage.tsx's ABHA tab — it mounts ABHASearchPanel only when patient.abha_id is already set (showing only Unlink), and mounts a DIFFERENT component (ABHARegistrationPanel) when abha_id is null File: src/components/patients/PatientRegistrationModal.tsx","ABHASearchPanel.tsx supports a ""type an ABHA number → Verify → tick verbal consent → Link"" flow for a NOT-yet-linked patient, but no live page ever renders it in that state — the flow is unreachable through the running application.","","None","ABDM","None","","","","","P3-S06","A consent-gated linking flow that cannot actually be reached means front-desk staff have no in-app way to link an ABHA number to an existing patient with logged verbal consent at all — they would have to use the (also broken, per TC-P3D-009/010) Aadhaar/mobile-OTP creation wizard instead, or the link never happens.","Negative","hospital_admin (Hospital A)","None — see TC-P3D-008 for the live-Playwright confirmation that neither reachable surface renders this panel","",""
