TC#,Section,Test Case,Steps,Expected Result,Status(PASS/FAIL/BLOCKED),mock data,Cross-Module Link,Settings need to set before entering to the module,Actual Result(What happened),Console Error(Copy-paste red text),Screenshot(Y/N),Notes,Journey Scenario,Why This Exists,Test Type,Role/Login,Supabase Verify,Playwright Spec,Defect ID
TC-P1A-015,1A Registration,Malformed GSTIN is caught,1) Enter '12345' 2) Then 'ABCDEFGHIJKLMNO' 3) Then 36AABCA1234F1Z5 4) Observe,"Invalid formats flagged. Valid 15-char GSTIN accepted. NOTE: if any junk value is accepted, log it as a defect.",Pass,12345 / ABCDEFGHIJKLMNO / 36AABCA1234F1Z5,Billing - GST invoicing,None,,,,GSTIN format is 2-digit state + 10-char PAN + entity + Z + checksum,P1-Setup,"A wrong GSTIN makes every tax invoice the hospital issues legally invalid, and they will not discover it until a GST audit.",Negative,Logged out,hospitals.gstin,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-016,1A Registration,GSTIN is optional,1) Leave GSTIN blank 2) Complete step 3,Registration proceeds. GSTIN can be added later in Settings.,Pass,GSTIN blank,Billing - HSN block is inactive without GSTIN,None,,,,Small clinics below the GST threshold genuinely have no GSTIN,P1-Setup,Many small nursing homes are below the GST registration threshold. Forcing a GSTIN would block a whole customer segment.,Positive,Logged out,hospitals.gstin is null,MANUAL-ONLY,
TC-P1A-017,1A Registration,Step 4 plan selection,"1) Review Starter, Professional and Enterprise 2) Select Professional 3) Next",Plan captured and shown on the confirm step. Pricing and included modules visible before choosing.,Pass,Professional,Settings - Plan & subscription,None,,,,,P1-Setup,The plan decides which of the 69 modules the hospital can even open. Choosing blind causes immediate churn.,Positive,Logged out,hospital_subscriptions,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-018,1A Registration,Cannot submit without accepting Terms,1) Reach step 5 2) Leave Terms unchecked 3) Try to submit,Submission blocked.,Pass,Terms unchecked,,None,,,,,P1-Setup,Without accepted terms you have no contract with the customer.,Negative,Logged out,None,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-019,1A Registration,Cannot submit without DPDP consent,1) Reach step 5 2) Accept Terms 3) Leave DPDP consent unchecked 4) Try to submit,Submission blocked.,Pass,DPDP consent unchecked,,None,,,,,P1-Setup,DPDP Act 2023 requires explicit consent for processing personal data. Missing it is a statutory violation from day one.,Negative,Logged out,hospital_signup_consents,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-020,1A Registration,Full registration creates the hospital,1) Complete all 5 steps with Hospital A data 2) Submit 3) Wait for confirmation,Success screen shown and a verification email is triggered.,Pass,Full Hospital A block,All modules,None,,,,,P1-Setup,This single action creates the tenant every other test depends on.,Positive,Logged out,hospitals WHERE name='Aarogya Multispecialty Hospital'; users; hospital_subscriptions; hospital_signup_consents,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-021,1A Registration,Trial subscription is created,1) After TC-P1A-020 2) Query hospital_subscriptions for the new hospital_id,A subscription row exists with the chosen plan and a trial state.,Pass,Hospital A,Settings - Plan,None,,,,Seeded by migration 20260616000003_seed_trial_subscription,P1-Setup,Without a subscription row the ModuleGate blocks every route and the customer sees an empty product.,Positive,Logged out,hospital_subscriptions,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-022,1A Registration,Default chart of accounts is auto-seeded,1) After TC-P1A-020 2) Query chart_of_accounts and auto_posting_rules and lab_test_master for the new hospital_id,Rows exist. A DB trigger on hospitals seeds defaults on insert.,Pass,Hospital A,Accounts - journals,None,,,,Trigger from 20260613110000_seed_hospital_defaults,P1-Setup,"Without a chart of accounts no billing event can post to the ledger, so the P&L is empty forever.",Positive,Logged out,chart_of_accounts; auto_posting_rules,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-023,1A Registration,Duplicate hospital registration is handled,1) Register Hospital A again with the same GSTIN and email 2) Observe,"Rejected with a clear message. NOTE: if a second hospital is created with the same GSTIN, log as P1.",Pass,Hospital A repeated,,None,,,,,P1-Setup,Two tenants with the same GSTIN means two hospitals issuing invoices under one tax registration - a serious compliance problem.,Negative,Logged out,hospitals - count by gstin must be 1,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1A-024,1A Registration,Back navigation preserves entered data,1) Fill steps 1-3 2) Click Back to step 1 3) Click Next twice,All previously entered values are still present.,Pass,Hospital A,,None,,,,,P1-Setup,Losing a half-filled form makes people abandon signup. It is the single biggest drop-off cause in onboarding.,Positive,Logged out,None,MANUAL-ONLY,
TC-P1A-025,1A Registration,Register Hospital B for isolation testing,1) Register Sanjeevani General Hospital with the Hospital B block 2) Choose the Starter plan 3) Complete,"Second tenant created with its own hospital_id, distinct from Hospital A.",Pass,Full Hospital B block,All - this is the isolation control,None,,,,Required before any Section 1H test can run,P1-Setup,Without a second hospital you cannot prove tenant isolation - and tenant isolation is the thing that ends a company if it fails.,Positive,Logged out,hospitals - 2 distinct rows,e2e/phase-01-foundation/P1A.registration.spec.ts,
TC-P1B-001,1B Onboarding,Onboarding wizard opens after first login,1) Verify the admin email 2) Log in as +qa.admin.a 3) Observe,Redirected to /setup/onboarding at step 1 Branding.,Pass,Hospital A admin,,Registration complete,,,,,P1-Setup,A hospital that lands on an empty dashboard with no guidance abandons the product in the first hour.,Positive,hospital_admin A,hospitals,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-002,1B Onboarding,Wizard shows 14 steps in 6 sections,1) Open /setup/onboarding 2) Count the steps and section headers,"Sections: Hospital (Branding, Departments), Structure (Wards & Beds, Shifts), People (Doctors, Other Staff, OPD Schedules), Services (Fees, Payers, Lab & Radiology, Payments), Integrations (WhatsApp, Modules), Launch (Go Live).",Pass,None,,Registration complete,,,,,P1-Setup,"The wizard order is the dependency order. If it is wrong, a customer configures things that silently fail.",Positive,hospital_admin A,None,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-003,1B Onboarding,Step 1 Branding saves logo and colour,1) Upload a logo 2) Set primary colour 3) Next,Saved and reflected in the app header.,Pass,any test image,All - print headers,Registration complete,,,,Branding is marked optional in the wizard,P1-Setup,The hospital's logo on a bill or report is what makes the software feel like theirs rather than yours.,Positive,hospital_admin A,hospitals.logo_url,MANUAL-ONLY,
TC-P1B-004,1B Onboarding,Branding can be skipped,1) At Branding click Skip,Advances to Departments without saving branding.,Pass,None,,Registration complete,,,,,P1-Setup,Optional steps must be genuinely optional or the customer is stuck at signup hunting for a logo file.,Positive,hospital_admin A,None,MANUAL-ONLY,
TC-P1B-005,1B Onboarding,Step 2 Departments creates all 10 departments,1) Add each department from the Mock Data Book 2) Save 3) Next,All 10 saved and listed.,,10 departments from Mock Data Book,OPD IPD Lab Radiology,Registration complete,,,,Use Indian English spellings - Anaesthesiology Gynaecology Orthopaedics Paediatrics,P1-Setup,No departments means no OPD token can be created and no doctor can be assigned. Nothing clinical works.,Positive,hospital_admin A,departments - 10 rows for hospital A,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-006,1B Onboarding,Departments is a mandatory step,1) At Departments with none added try Next / Skip,Cannot advance. The step is not optional.,,None,,Registration complete,,,,,P1-Setup,"Allowing a hospital past this step guarantees a broken OPD later, with no obvious cause.",Negative,hospital_admin A,None,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-007,1B Onboarding,Duplicate department name is rejected,1) Add 'General Medicine' 2) Add 'General Medicine' again,Rejected as duplicate.,,General Medicine twice,,Registration complete,,,,,P1-Setup,Duplicate departments split a doctor's patients across two identical-looking queues.,Negative,hospital_admin A,departments,MANUAL-ONLY,
TC-P1B-008,1B Onboarding,Step 3 creates all 6 wards with rate_per_day,1) Add each ward from the Mock Data Book with its rate 2) Save,All 6 wards saved WITH rate_per_day populated.,,6 wards from Mock Data Book,IPD - room charge; Billing,Registration complete,,,,CRITICAL - a ward without rate_per_day silently bills Rs 500/day,P1-Setup,Room rent is the largest single line on most inpatient bills. A missing rate means the hospital under-bills every admission and never notices.,Positive,hospital_admin A,wards - rate_per_day not null on all 6,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-009,1B Onboarding,Ward saved without rate_per_day is detectable,1) Add a ward leaving rate_per_day blank 2) Save 3) Check the row,"Either the field is mandatory, or the row saves with a null rate. If it saves null, log P1 - this is the Rs 500 silent fallback.",,ward with blank rate,IPD room charge,Registration complete,,,,,P1-Setup,This is the single most damaging silent failure in the application. It must at minimum be visible.,Negative,hospital_admin A,wards.rate_per_day,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-010,1B Onboarding,Step 3 creates all 32 beds,1) Add beds GW-01..10 SP-01..06 PR-01..04 DX-01..02 ICU-01..06 MW-01..04 2) Save,All 32 beds created and linked to their wards with status available.,,32 beds from Mock Data Book,IPD - admission,Registration complete + wards,,,,,P1-Setup,With no beds the Admit Patient modal is empty and no patient can ever be admitted.,Positive,hospital_admin A,beds - 32 rows,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-011,1B Onboarding,Duplicate bed number in the same ward is rejected,1) Add GW-01 twice to General Ward,Rejected.,,GW-01 twice,IPD,Registration + wards,,,,,P1-Setup,Two beds with the same number means two patients can be assigned the same physical bed.,Negative,hospital_admin A,beds,MANUAL-ONLY,
TC-P1B-012,1B Onboarding,Step 4 Shifts creates shift master,"1) Add Morning 08:00-16:00, Evening 16:00-00:00, Night 00:00-08:00 2) Save",3 shifts saved.,,3 standard shifts,HR - roster; Nursing handover,Registration complete,,,,,P1-Setup,Hospitals run 24x7 on rotating shifts. Without shift definitions there is no roster and no handover.,Positive,hospital_admin A,shift_master,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-013,1B Onboarding,Step 5 Doctors creates 3 doctors with fees,"1) Add Dr. Suresh Menon (Gen Medicine, Rs 500, follow-up Rs 0, validity 7d) 2) Dr. Kavitha Rao (Obs&Gynae, Rs 700, follow-up Rs 300, validity 10d) 3) Dr. Arjun Nair (Gen Surgery, Rs 800) 4) Save","All 3 created as users with role doctor, and matching service_master fee rows.",,3 doctors from Mock Data Book,OPD - consultation billing,Registration + departments,,,,Fee precedence is doctor then department then global then hardcoded Rs 500,P1-Setup,"With no consultation fee configured, the app silently bills a hardcoded Rs 500 for every patient regardless of doctor or specialty.",Positive,hospital_admin A,users WHERE role='doctor'; service_master item_type='consultation',e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-014,1B Onboarding,Follow-up fee and validity days save correctly,1) On Dr. Menon set follow_up_fee 0 and validity_days 7 2) Save 3) Verify the row,Both values persisted exactly.,,Rs 0 / 7 days,OPD - free revisit rule,Registration + departments,,,,Drives scenarios P4-S02 and P4-S03,P1-Setup,The free-revisit window is a promise the hospital makes to patients. Getting it wrong means either angry patients or lost revenue.,Positive,hospital_admin A,service_master.follow_up_fee and validity_days,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-015,1B Onboarding,Step 6 Other Staff creates non-doctor staff,"1) Add nurse, receptionist, pharmacist, lab tech, billing exec per the Mock Data Book 2) Save",All created with the correct roles.,,Staff list from Mock Data Book,All modules,Registration + departments,,,,,P1-Setup,A hospital is not one admin - every role needs its own login for accountability and audit.,Positive,hospital_admin A,users; staff_profiles,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-016,1B Onboarding,Step 7 OPD Schedules creates doctor slots,"1) Set Dr. Menon Mon-Sat 09:00-13:00, 15 min slots 2) Save",Schedule and slots generated.,,Mon-Sat 09:00-13:00,OPD - appointments,Registration + doctors,,,,,P1-Setup,Without slots no appointment can be booked and the hospital is walk-in only.,Positive,hospital_admin A,doctor_schedules; doctor_slots,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-017,1B Onboarding,Step 8 Fees creates the service master,"1) Add all 10 services from the Mock Data Book with rate, GST and HSN 2) Save",All 10 saved with HSN codes populated.,,10 services from Mock Data Book,Billing OPD IPD,Registration complete,,,,HSN is required or bill finalisation is blocked once GSTIN is set,P1-Setup,"Every chargeable thing the hospital does must exist here with a price and a tax code, or it either cannot be billed or the invoice is illegal.",Positive,hospital_admin A,service_master; service_rates,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-018,1B Onboarding,Fees is a mandatory step,1) At Fees with no services try to skip,Cannot skip. Step is mandatory.,,None,Billing,Registration complete,,,,,P1-Setup,Skipping fees is what produces the hardcoded Rs 500 bill later.,Negative,hospital_admin A,None,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-019,1B Onboarding,Step 9 Payers creates payer masters,1) Add all 8 payers from the Mock Data Book 2) Save,All 8 saved with their type.,,8 payers from Mock Data Book,IPD admission; Insurance,Registration complete,,,,,P1-Setup,Half a private hospital's revenue is insured. With no payers configured every patient is forced to self-pay.,Positive,hospital_admin A,payer_masters,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-020,1B Onboarding,Step 10 creates lab test master,"1) Add all 15 lab tests with fee, sample type, unit and normal range 2) Save",All 15 saved with fee and normal ranges populated.,,15 lab tests from Mock Data Book,OPD Rx chips; Lab orders; Billing,Registration complete,,,,Missing normal range means no abnormal flag and NO critical alert,P1-Setup,The lab catalogue is what the OPD Rx tab matches prescribed test names against. Tests not in it are silently dropped from the order.,Positive,hospital_admin A,lab_test_master - 15 rows with fee not null,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-021,1B Onboarding,Step 10 creates radiology modalities then studies,"1) Add modalities X-Ray, Ultrasound, CT, MRI 2) Then add the 7 studies 3) Save","Modalities first, then studies linked to them, all with fees.",,4 modalities + 7 studies,OPD Rx chips; Radiology; PCPNDT,Registration complete,,,,Modalities MUST exist before studies - order matters,P1-Setup,Radiology studies cannot exist without a modality. Getting the order wrong produces 'No studies configured'.,Positive,hospital_admin A,radiology_modalities; radiology_study_master,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-022,1B Onboarding,Step 11 Payments configures payment modes,1) Configure the accepted payment modes 2) Save,Saved.,,cash/UPI/card/NEFT,Billing - payments,Registration complete,,,,,P1-Setup,UPI is how most Indian patients pay now. Not offering it means cash queues at the counter.,Positive,hospital_admin A,api_configurations,MANUAL-ONLY,
TC-P1B-023,1B Onboarding,Step 12 WhatsApp can be skipped,1) At WhatsApp click Skip,Advances without configuring.,,None,Notifications,Registration complete,,,,WARNING - unconfigured WhatsApp makes ALL notifications silently no-op,P1-Setup,"WhatsApp is optional to configure but its absence is invisible - nothing errors, messages just never send.",Positive,hospital_admin A,None,MANUAL-ONLY,
TC-P1B-024,1B Onboarding,Step 13 Modules reflects the chosen plan,1) At Modules observe which are enabled 2) Compare against the Professional plan,Only modules included in the plan are enabled.,,Professional plan,All modules,Registration + plan,,,,,P1-Setup,"A customer seeing modules they did not pay for, or missing ones they did, is an immediate support ticket.",Positive,hospital_admin A,hospital_module_entitlements,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-025,1B Onboarding,Step 14 Go Live completes onboarding,1) Review the checklist 2) Complete onboarding,Redirected to /dashboard. Wizard does not reappear on next login.,,None,All,All prior steps,,,,,P1-Setup,Onboarding that reappears after completion makes the product feel broken.,Positive,hospital_admin A,hospitals - onboarding flag,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-026,1B Onboarding,Wizard resumes at the correct step after logout,1) Complete up to step 5 2) Log out 3) Log back in,Resumes at step 6 with earlier data intact.,,Partial Hospital A,,Registration complete,,,,,P1-Setup,Onboarding a hospital takes hours and spans sessions. Losing progress means starting over.,Positive,hospital_admin A,hospitals,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1B-027,1B Onboarding,Repeat full onboarding for Hospital B,"1) Log in as +qa.admin.b 2) Complete onboarding with a minimal Hospital B config (2 departments, 1 ward, 4 beds, 1 doctor, 1 service)",Hospital B is usable for isolation testing.,,Hospital B minimal set,Isolation testing,Hospital B registered,,,,Only needs enough data to prove isolation,P1-Setup,"Hospital B needs real data in it, or a cross-tenant test proves nothing - an empty result is not the same as a blocked one.",Positive,hospital_admin B,departments/wards/beds for hospital B,e2e/phase-01-foundation/P1B.onboarding.spec.ts,
TC-P1C-001,1C Login,Valid login succeeds,1) Go to /login 2) Enter +qa.admin.a and TestPass@2026 3) Submit,Logged in and redirected to /dashboard.,,Hospital A admin,All,Registration + email verified,,,,,P1-Setup,If login does not work nothing else matters.,Positive,hospital_admin A,audit_log action='LOGIN',e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-002,1C Login,Wrong password is rejected,1) Enter the correct email with password WrongPass@2026 2) Submit,Rejected with a generic message. NOTE: the message must not reveal whether the email exists.,,WrongPass@2026,,Registration complete,,,,,P1-Setup,A message distinguishing 'wrong password' from 'no such user' lets an attacker enumerate every staff email.,Negative,Logged out,audit_log,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-003,1C Login,Unknown email is rejected identically,1) Enter nosuchuser@example.com with any password 2) Compare the message to TC-P1C-002,The message is identical to the wrong-password message.,,nosuchuser@example.com,,None,,,,,P1-Setup,Same reason as above - differing messages leak your entire user list.,Negative,Logged out,None,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-004,1C Login,Empty credentials are rejected,1) Submit with both fields blank,Blocked with validation messages.,,blank,,None,,,,,P1-Setup,Basic input validation - an empty submit should never reach the server.,Negative,Logged out,None,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-005,1C Login,Unverified email cannot log in,1) Register a new admin 2) Do NOT click the verification link 3) Try to log in,Login blocked with a verify-your-email message.,,fresh unverified account,,None,,,,,P1-Setup,Unverified accounts let anyone register using someone else's email address.,Negative,Logged out,auth.users email_confirmed_at,MANUAL-ONLY,
TC-P1C-006,1C Login,Deactivated user is signed out,1) Log in as +qa.nurse.a 2) As admin in another browser set that user is_active=false 3) Refresh the nurse session,Nurse is force signed out. HospitalContext signs out when users.is_active is false.,,#NAME?,All,Staff created,,,,,P1-Setup,"When a staff member is terminated their access must end immediately, not at their next voluntary logout.",Negative,nurse A,users.is_active,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-007,1C Login,Deactivated user cannot log back in,1) After TC-P1C-006 try to log in as the nurse,Login refused.,,#NAME?,,Staff created,,,,,P1-Setup,A terminated employee logging back in the next day is a serious security and PHI exposure.,Negative,Logged out,users.is_active=false,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-008,1C Login,Password reset email is sent,1) At /login click Forgot Password 2) Enter +qa.doctor.a 3) Submit,Confirmation shown and a reset email arrives.,,#NAME?,,Staff created,,,,,P1-Setup,Staff forget passwords constantly. Without self-service reset every one becomes a support call.,Positive,Logged out,None,MANUAL-ONLY,
TC-P1C-009,1C Login,Password reset link works,1) Open the reset link 2) Set NewTestPass@2026 3) Log in with it,Password changed and the new one works.,,NewTestPass@2026,,Staff created,,,,Reset it back to TestPass@2026 afterwards,P1-Setup,A reset flow that emails a link but does not actually change the password is worse than none.,Positive,Logged out,None,MANUAL-ONLY,
TC-P1C-010,1C Login,Reset link cannot be reused,1) Use a reset link successfully 2) Open the same link again,Rejected as already used or expired.,,used reset link,,Staff created,,,,,P1-Setup,A reusable reset link in an inbox is a permanent backdoor into that account.,Negative,Logged out,None,MANUAL-ONLY,
TC-P1C-011,1C Login,Session persists across a refresh,1) Log in 2) Press F5,Still logged in on the same page.,,any login,,Staff created,,,,,P1-Setup,Being logged out by a page refresh mid-consultation loses the doctor's work.,Positive,doctor A,None,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-012,1C Login,Session persists across a new tab,1) Log in 2) Open /dashboard in a new tab,Logged in in the new tab too.,,any login,,Staff created,,,,,P1-Setup,Clinical staff routinely work across several tabs.,Positive,doctor A,None,MANUAL-ONLY,
TC-P1C-013,1C Login,Logout clears the session and context cache,1) Log in 2) Log out 3) Check sessionStorage for hms_ctx_* keys 4) Press browser Back,"Session ended, hms_ctx_* cleared, and Back does not restore an authenticated view.",,any login,,Staff created,,,,The context cache is only cleared on sign-out - this is why TC-P1H-012 exists,P1-Setup,"On a shared nursing-station computer, a session that survives logout exposes the previous user's patients.",Positive,any,None,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-014,1C Login,Protected route redirects when logged out,1) Log out 2) Navigate directly to /patients,Redirected to /login. Patient data never renders.,,None,Patients,None,,,,,P1-Setup,Direct URL entry is the first thing anyone tries. If it works logged out you have no access control at all.,Negative,Logged out,None,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-015,1C Login,Every protected route redirects when logged out,"1) Logged out, try /dashboard /opd /ipd /billing /lab /radiology /pharmacy /settings /accounts /platform",All redirect to /login. None render data.,,None,All,None,,,,,P1-Setup,One unguarded route is enough to expose the whole database.,Negative,Logged out,None,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-016,1C Login,Login audit row is written,1) Log in as +qa.doctor.a 2) Query audit_log,A LOGIN row exists with the user and timestamp.,,#NAME?,Quality - audit trail,Staff created,,,,,P1-Setup,NABH and DPDP both require knowing who accessed the system and when.,Positive,doctor A,audit_log action='LOGIN',e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-017,1C Login,Landing route matches the role,1) Log in as each of the 16 roles 2) Note where each lands,Each role lands on a route it is permitted to see - never a blank or a 403.,,All 16 logins,All,Staff created,,,,Cross-check against the Mock Data Book landing column,P1-Setup,A pharmacist landing on a page they cannot access looks like a broken product on day one.,Positive,all 16,None,e2e/phase-01-foundation/P1C.login.spec.ts,
TC-P1C-018,1C Login,Login page renders on a tablet,1) Open /login at 768px width,Usable without horizontal scroll.,,None,,None,,,,Tablet-first is the design target for nurse stations,P1-Setup,"Nurse stations and ward rounds run on tablets, not desktops.",Positive,Logged out,None,MANUAL-ONLY,
