cluster,table,domain,column_count,app_file_refs,live_rows,column_overlap_with_siblings,fk_targets,verdict,evidence
Drug master data,lab_test_master,Laboratory,21,26,275,drug_master:19% ayush_drug_master:19% radiology_study_master:24%,hospitals,VALID SEPARATION,275 rows. Distinct domain master.
Drug master data,radiology_study_master,Radiology,10,15,8,drug_master:30% ayush_drug_master:40% lab_test_master:50%,hospitals|radiology_modalities,VALID SEPARATION,Distinct domain master.
Hospital configuration,hospital_settings,Tenant,5,28,9,hospital_config_values:80% hospital_feature_overrides:40% hospital_module_entitlements:60% hospital_addons:60% hospital_pricing_overrides:60%,hospitals,PARTIAL OVERLAP,"9 rows, typed columns. Overlaps hospital_config_values (key/value) - two answers to one problem; both in use."
Hospital configuration,hospital_config_values,Tenant,11,5,39,hospital_settings:36% hospital_feature_overrides:27% hospital_module_entitlements:36% hospital_addons:36% hospital_pricing_overrides:36%,hospitals,PARTIAL OVERLAP,"39 rows, key/value. See hospital_settings. INSUFFICIENT EVIDENCE to merge."
Hospital configuration,hospital_feature_overrides,Tenant,7,3,0,hospital_settings:29% hospital_config_values:43% hospital_module_entitlements:57% hospital_addons:43% hospital_pricing_overrides:71%,users|hospitals,VALID SEPARATION,Feature gating is a distinct commercial concern.
Hospital configuration,hospital_module_entitlements,Tenant,8,3,0,hospital_settings:38% hospital_config_values:50% hospital_feature_overrides:50% hospital_addons:50% hospital_pricing_overrides:50%,hospitals|users,VALID SEPARATION,Entitlement grants; distinct lifecycle and authority.
Hospital configuration,hospital_addons,Tenant,11,7,0,hospital_settings:27% hospital_config_values:36% hospital_feature_overrides:27% hospital_module_entitlements:36% hospital_pricing_overrides:36%,addon_skus|hospitals|users,VALID SEPARATION,Purchased add-ons; commercial record.
Hospital configuration,hospital_pricing_overrides,Tenant,9,5,0,hospital_settings:33% hospital_config_values:44% hospital_feature_overrides:56% hospital_module_entitlements:44% hospital_addons:44%,users|hospitals,VALID SEPARATION,Correct override pattern keyed to a global master.
Indent / requisition,department_indents,Tenant,11,3,0,store_indents:64% purchase_requisitions:64% indent_items:18% store_indent_items:9%,users|departments|hospitals|users,PARTIAL OVERLAP,Three indent/requisition tables; app queries a fourth name (purchase_indents) that does not exist.
Indent / requisition,store_indents,Inventory,13,4,0,department_indents:54% purchase_requisitions:31% indent_items:23% store_indent_items:15%,users|store_locations|hospitals|users,PARTIAL OVERLAP,See department_indents.
Indent / requisition,purchase_requisitions,Procurement,8,1,0,department_indents:88% store_indents:50% indent_items:25% store_indent_items:13%,departments|hospitals|users,PARTIAL OVERLAP,See department_indents.
Indent / requisition,indent_items,Procurement,7,1,0,department_indents:29% store_indents:43% purchase_requisitions:29% store_indent_items:57%,hospitals|department_indents|inventory_items,VALID SEPARATION,Child line table.
Indent / requisition,store_indent_items,Inventory,12,3,0,department_indents:8% store_indents:17% purchase_requisitions:8% indent_items:33%,store_indents|inventory_items,PARTIAL OVERLAP,Duplicates indent_items role for a parallel parent.
Vitals capture,ipd_vitals,IPD,15,6,0,nursing_vitals:100%,admissions|hospitals|users,VALID SEPARATION,"Populated by trigger mirror_nursing_vitals_to_ipd_vitals from nursing_vitals. Deliberate DB-enforced mirror, NOT duplication."
Vitals capture,nursing_vitals,Nursing,25,11,0,ipd_vitals:60%,admissions|hospitals|patients|users,VALID SEPARATION,"Capture table; mirrors into ipd_vitals via trigger. 2 CHECKs (pain_score, shift)."
Alerting,clinical_alerts,Other,18,60,21,alert_escalation_log:11% alert_escalation_rules:28% idsp_alerts:17% revenue_alerts:33% staffing_alerts:33% pharmacy_stock_alerts:33%,users|users|hospitals|lab_order_items,VALID SEPARATION,21 rows. Canonical clinical alert table with alert_type/severity CHECKs.
Alerting,alert_escalation_log,Other,10,1,0,clinical_alerts:20% alert_escalation_rules:20% idsp_alerts:20% revenue_alerts:20% staffing_alerts:20% pharmacy_stock_alerts:20%,clinical_alerts|hospitals|alert_escalation_rules,VALID SEPARATION,Escalation history; different grain.
Alerting,alert_escalation_rules,Other,12,2,0,clinical_alerts:42% alert_escalation_log:17% idsp_alerts:25% revenue_alerts:42% staffing_alerts:42% pharmacy_stock_alerts:33%,hospitals,VALID SEPARATION,"Configuration, not events."
Alerting,idsp_alerts,Public Health,13,1,0,clinical_alerts:23% alert_escalation_log:15% alert_escalation_rules:23% revenue_alerts:23% staffing_alerts:23% pharmacy_stock_alerts:23%,hospitals,VALID SEPARATION,Public-health notifiable disease reporting; statutory.
Alerting,revenue_alerts,Billing,13,2,0,clinical_alerts:46% alert_escalation_log:15% alert_escalation_rules:38% idsp_alerts:23% staffing_alerts:46% pharmacy_stock_alerts:31%,bills|hospitals|patients|users,VALID SEPARATION,Financial domain alerting.
Alerting,staffing_alerts,HR,12,2,0,clinical_alerts:50% alert_escalation_log:17% alert_escalation_rules:42% idsp_alerts:25% revenue_alerts:50% pharmacy_stock_alerts:33%,hospitals|ward_acuity_snapshots,VALID SEPARATION,HR domain alerting.
Alerting,pharmacy_stock_alerts,Pharmacy,10,3,0,clinical_alerts:60% alert_escalation_log:20% alert_escalation_rules:40% idsp_alerts:30% revenue_alerts:40% staffing_alerts:40%,users|drug_batches|drug_master|hospitals,VALID SEPARATION,Inventory threshold alerting.
Identity,users,Identity,19,297,38,staff_profiles:42% aumrti_admins:32%,users|branches|departments|hospitals,VALID SEPARATION,Canonical business identity. 338 FKs target it.
Identity,staff_profiles,HR,24,11,0,users:33% aumrti_admins:13%,departments|hospitals|users,VALID SEPARATION,"HR employment record, distinct from login identity."
Identity,aumrti_admins,Identity,6,11,0,users:100% staff_profiles:50%,users,VALID SEPARATION,Platform-level identity; correct separation from tenant users.
Beneficiary registries,cghs_echs_beneficiaries,PM-JAY,21,5,0,esi_beneficiaries:29% arogyasri_enrollments:29%,hospitals|patients,VALID SEPARATION,CGHS/ECHS scheme registry with distinct eligibility rules.
Beneficiary registries,esi_beneficiaries,PM-JAY,10,1,0,cghs_echs_beneficiaries:60% arogyasri_enrollments:50%,,VALID SEPARATION,ESI scheme registry.
Beneficiary registries,arogyasri_enrollments,PM-JAY,12,1,0,cghs_echs_beneficiaries:50% esi_beneficiaries:42%,,VALID SEPARATION,State scheme enrolment.
Sequence generators,hospital_sequences,Tenant,3,0,22,bill_sequences:33% admission_sequences:33% opd_token_sequences:33%,hospitals,PARTIAL OVERLAP,22 rows. Generic per-hospital sequence; overlaps the three purpose-built sequence tables.
Sequence generators,bill_sequences,Billing,4,1,25,hospital_sequences:25% admission_sequences:100% opd_token_sequences:100%,hospitals,VALID SEPARATION,25 rows. Backed by trg_bills_assign_bill_number.
Sequence generators,admission_sequences,IPD,4,0,0,hospital_sequences:25% bill_sequences:100% opd_token_sequences:100%,hospitals,PARTIAL OVERLAP,Could be rows in hospital_sequences. Also a cross-tenant read leak (S-5).
Sequence generators,opd_token_sequences,OPD,5,0,3,hospital_sequences:20% bill_sequences:80% admission_sequences:80%,hospitals,PARTIAL OVERLAP,Could be rows in hospital_sequences. Also a cross-tenant read leak (S-5).
Medication administration record,med_admin_records,Nursing,,0,0,mar_records: high,,TRUE DUPLICATE,"MAR modelled twice. Both 0 rows, both 0 app references. Neither implementation wired up."
Medication administration record,mar_records,Nursing,,0,0,med_admin_records: high,,TRUE DUPLICATE,See med_admin_records. Pick one; delete the other after owner confirmation.
Asset register,fixed_assets,Inventory,31,3,0,facility_assets: partial,,PARTIAL OVERLAP,Consolidation target of 20260611000001_merge_asset_register_into_fixed_assets.sql.
Asset register,facility_assets,Inventory,,,0,fixed_assets: partial,,PARTIAL OVERLAP,Second asset table surviving the merge. Boundary vs fixed_assets undocumented.
Asset register,asset_register,Inventory,,,,ABSENT LIVE,,LEGACY,Dropped June 2026; re-created by two applied Sept migrations yet absent live (C-12).
AI provider configuration,ai_provider_config,AI,,,0,platform_ai_provider_config: partial,,PARTIAL OVERLAP,Hospital vs platform scope; boundary unclear.
AI provider configuration,platform_ai_provider_config,AI,10,,35,ai_provider_config: partial,,PARTIAL OVERLAP,Platform-level. Reads open to all authenticated (S-5); writes correctly gated.
Discount approvals,discount_approvals,Billing,,,0,bill_discount_approvals: partial,,PARTIAL OVERLAP,Two discount-approval tables; bill_discount_approvals is trigger-enforced.
Discount approvals,bill_discount_approvals,Billing,,,0,discount_approvals: partial,,PARTIAL OVERLAP,Backed by enforce_discount_approval_authorization trigger - likely the canonical one.
Demand forecasting,demand_forecasts,Reporting,,0,0,bed_demand_forecasts: partial,,PARTIAL OVERLAP,Both empty; generic vs bed-specific forecasting.
Demand forecasting,bed_demand_forecasts,IPD,,,0,demand_forecasts: partial,,PARTIAL OVERLAP,Also carries a duplicate index pair (O-4).
Journal line detail,journal_line_items,Billing,11,,1683,n/a,,CANONICAL,The real GL line table. Application writes to non-existent journal_entry_lines instead (C-03).
